Nome_do_PDF,Nome_Padronizado
A BELLA ITALIA,A Bella Itália
A IGREJA PELO MUNDO,A Igreja Pelo Mundo
A PALAVRA DE DEUS PARA HOJE,A Palavra de Deus para Hoje
A PALAVRA DO ARCEBISPO - DOM PAULO MENDES PEIXOTO,A Palavra do Arcebispo - Dom Paulo Mendes Peixoto
A SERVIÇO DA VIDA,A Serviço da Vida
A VOZ DO PASTOR,A Voz do Pastor
ACIMA DE TUDO O AMOR,Acima de Tudo o Amor
ACREDITE,Acredite
ANATOMIA DO PODER,Anatomia do Poder
ANGELUS,ANGELUS
BATISMO DE FOGO,Batismo de Fogo
BATISMO DE FOGO - SÁBADO,Batismo de Fogo
BENDITA HORA,Bendita Hora
CONEXÕES REDEVIDA,Conexões REDEVIDA
CONTA COMIGO 1 / DALCIDES,Conta Comigo
CONTA COMIGO 1-A/ DALCIDES,Conta Comigo
CONTA COMIGO 2,Conta Comigo
CONTA COMIGO 2-A,Conta Comigo
CONTA COMIGO 2-B/ DALCIDES,Conta Comigo
CONTA COMIGO 3-B,Conta Comigo
CRÔNICAS COTIDIANAS PARA VIDA,Crônicas Cotidianas Para Vida
CRÔNICAS DE FÉ E AFETO,Crônicas de Fé e Afeto
ENCONTRO COM CRISTO - MATUTINO,Encontro com Cristo
ENCONTRO COM CRISTO - VESPERTINO,Encontro com Cristo
ESCOLHAS DA VIDA - MATUTINO,Escolhas da Vida
ESCOLHAS DA VIDA - VESPERTINO,Escolhas da Vida
FAZENDO BARULHO,Fazendo Barulho
FAZENDO ESPERANÇA,Fazendo Esperança
FILHOS DA DESATADORA,Filhos da Desatadora
FRENTE A FRENTE - BRASÍLIA,Frente a Frente 
FRENTE A FRENTE - SÃO JOSÉ DO RIO PRETO,Frente a Frente 
FRENTE A FRENTE - SÃO PAULO,Frente a Frente 
JCTV 1ª EDIÇÃO,JCTV
JCTV EDIÇÃO DA NOITE,JCTV
JORNAL DA VIDA,Jornal da Vida
JUNTOS COM NOSSA SENHORA DE FÁTIMA,Juntos com Nossa Senhora de Fátima
MÃE MARIA,Mãe Maria
MEDITAÇÃO DA PALAVRA COM FREI GILSON,Meditação da Palavra com Frei Gilson
MISSA DE APARECIDA,Missa de Aparecida
MISSA DE NOSSA SENHORA DE NAZARÉ,Missa de Nossa Senhora de Nazaré
MISSA DO SANTUÁRIO DA VIDA,Missa no Santuário da Vida
MISSA DO SANTUÁRIO DA VIDA - MATUTINO,Missa no Santuário da Vida
MISSA DO SANTUÁRIO DA VIDA - NOTURNO,Missa no Santuário da Vida
MISSA DO SANTUÁRIO DO DIVINO PAI ETERNO,Missa do Santuário do Divino Pai Eterno
MISSA DO SANTUÁRIO DO DIVINO PAI ETERNO - MATUTINO,Missa do Santuário do Divino Pai Eterno
MISSA DO SANTUÁRIO MÃE DE DEUS,Missa do Santuário Mãe de Deus
MISSA PADRE ROBSON,Missa Padre Robson
MISSA POR CURA E LIBERTAÇÃO COM Pe. ALBERTO GAMBARINI,Missa por Cura e Libertação com Pe. Alberto Gambarini
NOVENA DO PERPÉTUO SOCORRO - DOM,Novena do Perpétuo Socorro
NOVENA DO PERPÉTUO SOCORRO - MATUTINO,Novena do Perpétuo Socorro
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ,Novena dos Filhos e Filhas de São José
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ - CREPUSCULAR,Novena dos Filhos e Filhas de São José
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ - DOMINICAL,Novena dos Filhos e Filhas de São José
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ - MATUTINA,Novena dos Filhos e Filhas de São José
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ - NOTURNA,Novena dos Filhos e Filhas de São José
NOVENA DOS FILHOS E FILHAS DE SÃO JOSÉ - VESPERTINA,Novena dos Filhos e Filhas de São José
NOVENA FILHOS DO PAI ETERNO,Novena dos Filhos do Pai Eterno
NOVENA MARIA PASSA À FRENTE,Novena Maria Passa à Frente
